
TimeEdit,Universiti Malaya
"WIE3012, ANALITIK DAN KEPINTARAN PERNIAGAAN,WIE3007, PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3010, VISUALISASI DATA,GQO0064, PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,WIA3003, PROJEK AKADEMIK II,GKK1001, KHIDMAT KOMUNITI",07/10/2024 - 15/02/2025 Mon-Fri,
Begin date,Begin time,End date,End time,Module,Module Offering,Activity,Activity Type (exam),Room 
13/01/2025,10:00,13/01/2025,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
13/01/2025,11:00,13/01/2025,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
14/01/2025,16:00,14/01/2025,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
15/01/2025,14:00,15/01/2025,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
16/01/2025,12:00,16/01/2025,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
16/01/2025,16:00,16/01/2025,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
16/01/2025,17:00,16/01/2025,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
16/01/2025,17:00,16/01/2025,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
17/01/2025,10:00,17/01/2025,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
17/01/2025,15:00,17/01/2025,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
